Level1,Level2,Level3,Level4,Level5,Level6,Level1CN,Level2CN,Level3CN,Level4CN,Level5CN,Level6CN
I. Introduction - What Is American Strategy?,"1. How American ""Strategy"" Went Astray","To ensure that America remains the world’s strongest, richest, most powerful, and most successful country for decades to come, our country needs a coherent, focused strategy for how we interact with the world. And to get that right, all Americans need to know what, exactly, it is we are trying to do and why. ",,,,一、引言——什么是美国战略？,1. 美国“战略”是如何误入歧途的,为了确保美国在未来几十年继续保持世界最强大、最富有、最有影响力、最成功的国家地位，我国需要制定一套连贯、重点突出的国际互动战略。而要做好这一点，所有美国人都需要清楚地知道我们究竟在做什么，以及为什么要这样做。,,,
I. Introduction - What Is American Strategy?,"1. How American ""Strategy"" Went Astray","A “strategy” is a concrete, realistic plan that explains the essential connection between ends and means: it begins from an accurate assessment of what is desired and what tools are available, or can realistically be created, to achieve the desired outcomes. ",,,,一、引言——什么是美国战略？,1. 美国“战略”是如何误入歧途的,“战略”是一个具体、现实的计划，它解释了目的和手段之间的本质联系：它从准确评估想要的结果以及可用的或可以实际创造的工具开始，以实现预期的结果。,,,
I. Introduction - What Is American Strategy?,"1. How American ""Strategy"" Went Astray","A strategy must evaluate, sort, and prioritize. Not every country, region, issue, or cause—however worthy—can be the focus of American strategy. The purpose of foreign policy is the protection of core national interests; that is the sole focus of this strategy. ",,,,一、引言——什么是美国战略？,1. 美国“战略”是如何误入歧途的,一项战略必须进行评估、分类和优先排序。并非每个国家、地区、议题或事业——无论多么重要——都能成为美国战略的重点。外交政策的目的是保护核心国家利益；这才是这项战略的唯一核心。,,,
I. Introduction - What Is American Strategy?,"1. How American ""Strategy"" Went Astray",American strategies since the end of the Cold War have fallen short—they have been laundry lists of wishes or desired end states; have not clearly defined what we want but instead stated vague platitudes; and have often misjudged what we should want. ,,,,一、引言——什么是美国战略？,1. 美国“战略”是如何误入歧途的,冷战结束后的美国战略一直未能达到预期效果——它们只是一长串愿望或期望的最终状态清单；没有明确定义我们想要什么，而是提出了一些模糊的陈词滥调；而且常常误判了我们应该想要什么。,,,
I. Introduction - What Is American Strategy?,"1. How American ""Strategy"" Went Astray","After the end of the Cold War, American foreign policy elites convinced themselves that permanent American domination of the entire world was in the best interests of our country. Yet the affairs of other countries are our concern only if their activities directly threaten our interests. ",,,,一、引言——什么是美国战略？,1. 美国“战略”是如何误入歧途的,冷战结束后，美国外交政策精英们深信，美国永久主宰全世界符合美国的最佳利益。然而，只有当其他国家的活动直接威胁到美国利益时，美国才会关心它们。,,,
I. Introduction - What Is American Strategy?,"1. How American ""Strategy"" Went Astray","Our elites badly miscalculated America’s willingness to shoulder forever global burdens to which the American people saw no connection to the national interest. They overestimated America’s ability to fund, simultaneously, a massive welfareregulatory-administrative state alongside a massive military, diplomatic, intelligence, and foreign aid complex. They placed hugely misguided and destructive bets on globalism and so-called “free trade” that hollowed out the very middle class and industrial base on which American economic and military preeminence depend. They allowed allies and partners to offload the cost of their defense onto the American people, and sometimes to suck us into conflicts and 1 controversies central to their interests but peripheral or irrelevant to our own. And they lashed American policy to a network of international institutions, some of which are driven by outright anti-Americanism and many by a transnationalism that explicitly seeks to dissolve individual state sovereignty. In sum, not only did our elites pursue a fundamentally undesirable and impossible goal, in doing so they undermined the very means necessary to achieve that goal: the character of our nation upon which its power, wealth, and decency were built.",,,,一、引言——什么是美国战略？,1. 美国“战略”是如何误入歧途的,我们的精英们严重误判了美国承担全球性负担的意愿，而美国人民却认为这些负担与国家利益毫无关联。他们高估了美国同时维持庞大的福利、监管和行政体系以及庞大的军事、外交、情报和对外援助体系的能力。他们对全球主义和所谓的“自由贸易”进行了极其错误且具有破坏性的押注，导致美国赖以维持经济和军事霸权的中产阶级和工业基础被掏空。他们允许盟友和伙伴将国防开支转嫁给美国人民，有时甚至将我们拖入对他们自身利益至关重要但对我们自身利益无关紧要的冲突和争议中。他们还将美国政策与一系列国际机构捆绑在一起，其中一些机构的驱动力是彻头彻尾的反美主义，而许多机构的驱动力则是旨在瓦解单个国家主权的跨国主义。总之，我们的精英不仅追求了一个从根本上来说是不可取且不可能实现的目标，而且在这样做的时候，他们还破坏了实现该目标所必需的手段：我们国家赖以建立其力量、财富和体面的品格。,,,
I. Introduction - What Is American Strategy?,"2. President Trump's Necessary, Welcome Correction","None of this was inevitable. President Trump’s first administration proved that with the right leadership making the right choices, all of the above could—and should—have been avoided, and much else achieved. He and his team successfully marshaled America’s great strengths to correct course and begin ushering in a new golden age for our country. To continue the United States on that path is the overarching purpose of President Trump’s second administration, and of this document. ",,,,一、引言——什么是美国战略？,2. 特朗普总统必要且受欢迎的纠正,这一切并非不可避免。特朗普总统的第一届政府证明，只要有正确的领导，做出正确的选择，上述所有问题都可以——也应该——避免，而且还能取得更多成就。他和他的团队成功地调动了美国的强大优势，纠正了航向，并开启了美国的新黄金时代。继续引领美国走上这条道路，正是特朗普总统第二届政府以及本文件的首要目标。,,,
I. Introduction - What Is American Strategy?,"2. President Trump's Necessary, Welcome Correction",The questions before us now are: 1) What should the United States want? 2) What are our available means to get it? and 3) How can we connect ends and means into a viable National Security Strategy? ,,,,一、引言——什么是美国战略？,2. 特朗普总统必要且受欢迎的纠正,我们现在面临的问题是：1）美国应该想要什么？2）我们有哪些手段可以实现这个目标？3）我们如何将目标和手段结合起来，制定一个可行的国家安全战略？,,,
II. What Should the United States Want?,1. What Do We Want Overall?,"First and foremost, we want the continued survival and safety of the United States as an independent, sovereign republic whose government secures the God-given natural rights of its citizens and prioritizes their well-being and interests. ",,,,二、美国应该想要什么？,1. 我们总体上想要什么？,首先，我们希望美国作为一个独立、主权共和国继续生存和安全，其政府保障上帝赋予公民的自然权利，并将公民的福祉和利益放在首位。,,,
II. What Should the United States Want?,1. What Do We Want Overall?,"We want to protect this country, its people, its territory, its economy, and its way of life from military attack and hostile foreign influence, whether espionage, predatory trade practices, drug and human trafficking, destructive propaganda and influence operations, cultural subversion, or any other threat to our nation. ",,,,二、美国应该想要什么？,1. 我们总体上想要什么？,我们要保护这个国家、它的人民、它的领土、它的经济和它的生活方式免受军事攻击和敌对外国的影响，无论是间谍活动、掠夺性贸易行为、毒品和人口贩运、破坏性宣传和影响行动、文化颠覆，还是对我们国家的任何其他威胁。,,,
